index,answer
0,choice='A' probability=0.25
1,choice='A' probability=0.8
2,
3,
4,choice='A' probability=0.7
5,choice='C' probability=0.8
6,
7,choice='C' probability=0.8
8,choice='D' probability=0.9
9,
10,
11,choice='C' probability=0.75
12,choice='A' probability=0.9
13,choice='B' probability=0.8
14,
15,choice='C' probability=0.8
16,choice='C' probability=0.7
17,
18,
19,
20,
21,choice='D' probability=0.9
22,
23,choice='C' probability=0.5
24,
25,choice='A' probability=0.7
26,choice='A' probability=0.8
27,choice='A' probability=0.8
28,
29,choice='C' probability=0.8
30,choice='A' probability=0.75
31,
32,
33,
34,choice='C' probability=0.25
35,choice='C' probability=0.8
36,choice='A' probability=0.7
37,choice='B' probability=0.8
38,
39,choice='C' probability=0.8
40,choice='B' probability=0.8
41,
42,
43,choice='A' probability=0.8
44,choice='C' probability=0.8
45,
46,
47,choice='D' probability=0.8
48,choice='A' probability=0.8
49,
50,choice='C' probability=0.2
51,choice='B' probability=0.8
52,
53,
54,choice='A' probability=0.8
55,choice='C' probability=0.9
56,choice='C' probability=0.8
57,choice='C' probability=0.8
58,
59,choice='C' probability=0.25
60,choice='C' probability=0.9
61,
62,choice='A' probability=0.4
63,choice='A' probability=0.9
64,choice='A' probability=0.25
65,
66,choice='C' probability=0.8
67,choice='D' probability=0.25
68,
69,choice='C' probability=0.9
70,choice='C' probability=0.8
71,
72,choice='C' probability=0.6
73,choice='D' probability=0.75
74,choice='C' probability=0.7
75,choice='D' probability=0.75
76,choice='A' probability=0.7
77,choice='C' probability=0.25
78,choice='C' probability=0.9
79,choice='C' probability=0.8
80,
81,choice='A' probability=0.8
82,
83,choice='A' probability=0.7
84,choice='C' probability=0.75
85,
86,
87,
88,
89,choice='A' probability=0.8
90,choice='B' probability=0.8
91,choice='B' probability=0.8
92,
93,choice='C' probability=0.2
94,choice='C' probability=0.7
95,choice='D' probability=0.9
96,
97,
98,choice='A' probability=0.9
99,choice='C' probability=0.8
100,
101,choice='C' probability=0.9
102,
103,
104,choice='C' probability=0.9
105,
106,
107,choice='A' probability=0.75
108,
109,
110,choice='A' probability=0.05
111,choice='C' probability=0.8
112,
113,
114,choice='D' probability=0.9
115,
116,choice='C' probability=0.9
117,choice='C' probability=0.9
118,choice='C' probability=0.8
119,choice='C' probability=0.4
120,choice='A' probability=0.8
121,choice='C' probability=0.25
122,
123,
124,choice='C' probability=0.8
125,
126,choice='C' probability=0.8
127,
128,choice='C' probability=0.8
129,choice='A' probability=0.8
130,
131,choice='C' probability=0.9
132,choice='B' probability=0.25
133,choice='C' probability=0.8
134,choice='A' probability=0.25
135,choice='C' probability=0.8
136,choice='A' probability=0.6
137,choice='C' probability=0.7
138,choice='A' probability=0.8
139,
140,choice='C' probability=0.9
141,
142,choice='C' probability=0.5
143,choice='A' probability=0.7
144,
145,choice='A' probability=0.75
146,
147,choice='C' probability=0.75
148,choice='C' probability=0.75
149,choice='B' probability=0.9
150,choice='B' probability=0.8
151,
152,choice='A' probability=0.25
153,choice='C' probability=0.3333
154,choice='D' probability=0.8
155,choice='C' probability=0.8
156,choice='A' probability=0.8
157,choice='A' probability=0.7
158,choice='C' probability=0.8
159,choice='C' probability=0.75
160,choice='C' probability=0.75
161,
162,
163,choice='C' probability=0.25
164,choice='C' probability=0.75
165,choice='C' probability=0.8
166,
167,choice='A' probability=0.8
168,
169,choice='B' probability=0.8
170,choice='A' probability=0.75
171,
172,choice='A' probability=0.7
173,
174,choice='B' probability=0.8
175,choice='B' probability=0.9
176,
177,choice='D' probability=0.7
178,
179,choice='C' probability=0.8
180,choice='A' probability=0.75
181,
182,choice='C' probability=0.7
183,choice='A' probability=0.9
184,choice='C' probability=0.8
